timestamp,estimated_x,estimated_y,steps,step_distance_m,position_distance_m,fused_distance_m,total_step_distance_m,total_position_distance_m,total_fused_distance_m,distance_anchor1,rssi_anchor1,distance_anchor2,rssi_anchor2,distance_anchor3,rssi_anchor3,distance_anchor4,rssi_anchor4
2025-04-12T19:29:07.596114,,,0,0,0,0,0,0,0,7.71,-86,,,,,,
2025-04-12T19:29:08.597648,1.04,8.68,0,0.0,0,0,0.0,0,0,7.71,-86,11.83,-91,9.2,-93,2.62,-72
2025-04-12T19:29:09.598414,1.03,8.58,0,0.0,0.1,0.08,0.0,0.1,0.08,7.49,-83,11.95,-90,9.54,-85,2.68,-72
2025-04-12T19:29:10.599447,1.03,8.43,0,0.0,0.15,0.12,0.0,0.25,0.2,7.28,-82,11.95,-90,10.01,-93,2.78,-72
2025-04-12T19:29:11.600761,1.18,8.17,0,0.0,0.3,0.24,0.0,0.551,0.441,7.19,-87,11.84,-95,10.01,-93,3.04,-71
2025-04-12T19:29:12.602069,1.14,8.28,0,0.0,0.117,0.094,0.0,0.668,0.534,7.19,-87,11.85,-93,9.75,-89,2.92,-72
2025-04-12T19:29:13.603042,0.99,8.76,0,0.0,0.503,0.402,0.0,1.171,0.936,7.91,-82,11.85,-93,9.4,-87,2.57,-73
2025-04-12T19:29:14.604185,0.77,9.06,0,0.0,0.372,0.298,0.0,1.543,1.234,8.11,-83,12.18,-96,9.52,-89,2.24,-69
2025-04-12T19:29:15.607366,0.54,9.3,0,0.0,0.332,0.266,0.0,1.875,1.5,8.11,-83,12.99,-91,9.86,-88,1.92,-69
2025-04-12T19:29:16.607250,0.43,9.46,0,0.0,0.194,0.155,0.0,2.069,1.655,8.31,-87,12.99,-91,9.79,-86,1.69,-69
2025-04-12T19:29:17.608313,0.38,9.56,0,0.0,0.112,0.089,0.0,2.181,1.745,8.5,-93,12.87,-93,9.41,-90,1.54,-64
2025-04-12T19:29:18.610892,0.41,9.56,0,0.0,0.03,0.024,0.0,2.211,1.769,8.7,-81,12.73,-92,9.17,-93,1.56,-62
2025-04-12T19:29:19.611106,0.42,9.56,0,0.0,0.01,0.008,0.0,2.221,1.777,8.79,-88,12.39,-90,9.17,-93,1.56,-62
2025-04-12T19:29:20.612840,0.56,9.46,0,0.0,0.172,0.138,0.0,2.393,1.914,8.97,-92,12.28,-97,8.72,-94,1.76,-66
2025-04-12T19:29:21.614976,0.53,9.53,0,0.0,0.076,0.061,0.0,2.469,1.975,9.21,-87,12.28,-97,8.35,-88,1.66,-65
2025-04-12T19:29:22.616590,0.49,9.51,0,0.0,0.045,0.036,0.0,2.514,2.011,8.76,-85,12.5,-91,8.75,-86,1.66,-65
2025-04-12T19:29:23.618583,0.75,9.24,0,0.0,0.375,0.3,0.0,2.889,2.311,8.76,-85,12.08,-88,8.87,-88,2.09,-69
2025-04-12T19:29:24.618562,0.62,9.33,0,0.0,0.158,0.126,0.0,3.047,2.438,8.41,-91,12.08,-88,8.92,-86,1.89,-68
2025-04-12T19:29:25.620242,0.51,9.4,0,0.0,0.13,0.104,0.0,3.177,2.542,8.34,-88,12.36,-92,9.32,-86,1.77,-65
2025-04-12T19:29:26.622338,0.48,9.4,0,0.0,0.03,0.024,0.0,3.207,2.566,8.27,-89,12.65,-95,9.71,-91,1.77,-65
2025-04-12T19:29:27.622649,0.44,9.43,0,0.0,0.05,0.04,0.0,3.257,2.606,8.27,-88,12.61,-93,10.13,-92,1.73,-73
2025-04-12T19:29:28.625128,0.39,9.52,0,0.0,0.103,0.082,0.0,3.36,2.688,8.27,-88,12.61,-93,9.69,-90,1.58,-66
2025-04-12T19:29:29.626156,0.26,9.68,0,0.0,0.206,0.165,0.0,3.566,2.853,8.45,-84,12.86,-94,9.83,-93,1.3,-63
