timestamp,estimated_x,estimated_y,steps,step_distance_m,position_distance_m,fused_distance_m,total_step_distance_m,total_position_distance_m,total_fused_distance_m,distance_anchor1,rssi_anchor1,distance_anchor2,rssi_anchor2,distance_anchor3,rssi_anchor3,distance_anchor4,rssi_anchor4
2025-05-05T16:06:57.834761,,,0,0,0,0,0,0,0,2511.89,-127,3.16,-69,,,,
2025-05-05T16:06:58.885461,,,0,0.0,0,0,0.0,0,0,2511.89,-127,3.16,-69,,,,
2025-05-05T16:06:59.925955,,,0,0.0,0,0,0.0,0,0,2511.89,-127,3.16,-69,,,,
2025-05-05T16:07:01.075394,,,0,0.0,0,0,0.0,0,0,2511.89,-127,3.16,-69,,,,
2025-05-05T16:07:01.261086,0.0,0.0,2,1.515,0,1.288,1.515,0,1.288,0.07,-36,3.16,-69,,,,
2025-05-05T16:07:02.388630,0.0,0.0,2,0.0,0,0,1.515,0,1.288,0.07,-36,3.16,-69,,,,
2025-05-05T16:07:03.614831,0.0,0.0,2,0.0,0,0,1.515,0,1.288,0.07,-36,3.16,-69,,,,
2025-05-05T16:07:04.635469,0.0,0.0,2,0.0,0,0,1.515,0,1.288,0.07,-36,3.16,-69,,,,
2025-05-05T16:07:04.962407,0.0,0.0,2,0.0,0,0,1.515,0,1.288,0.07,-36,6.31,-75,,,,
2025-05-05T16:07:06.028812,0.0,0.0,2,0.0,0,0,1.515,0,1.288,0.07,-36,6.31,-75,,,,
2025-05-05T16:07:07.058395,0.0,0.0,2,0.0,0,0,1.515,0,1.288,0.07,-36,6.31,-75,,,,
2025-05-05T16:07:08.184932,0.0,0.0,2,0.0,0,0,1.515,0,1.288,0.07,-36,6.31,-75,,,,
2025-05-05T16:07:08.314217,0.0,0.0,2,0.0,0,0,1.515,0,1.288,0.07,-36,6.31,-75,,,,
2025-05-05T16:07:09.460498,0.0,0.0,2,0.0,0,0,1.515,0,1.288,0.07,-36,6.31,-75,,,,
2025-05-05T16:07:10.566512,0.0,0.0,2,0.0,0,0,1.515,0,1.288,0.07,-36,6.31,-75,,,,
2025-05-05T16:07:11.623783,0.0,0.0,2,0.0,0,0,1.515,0,1.288,0.07,-36,6.31,-75,,,,
2025-05-05T16:07:11.888399,0.0,0.0,2,0.0,0,0,1.515,0,1.288,0.07,-36,2.82,-68,,,,
2025-05-05T16:07:12.969370,0.0,0.0,2,0.0,0,0,1.515,0,1.288,0.07,-36,2.82,-68,,,,
2025-05-05T16:07:14.029489,0.0,0.0,2,0.0,0,0,1.515,0,1.288,0.07,-36,2.82,-68,,,,
2025-05-05T16:07:14.238307,0.0,0.0,2,0.0,0,0,1.515,0,1.288,0.16,-43,2.82,-68,,,,
2025-05-05T16:07:15.293905,0.0,0.0,2,0.0,0,0,1.515,0,1.288,0.16,-43,2.82,-68,,,,
2025-05-05T16:07:16.336810,0.0,0.0,2,0.0,0,0,1.515,0,1.288,0.16,-43,2.82,-68,,,,
2025-05-05T16:07:17.520409,0.0,0.0,2,0.0,0,0,1.515,0,1.288,0.16,-43,2.82,-68,,,,
2025-05-05T16:07:18.198570,0.0,0.0,2,0.0,0,0,1.515,0,1.288,0.16,-43,1.41,-62,,,,
2025-05-05T16:07:19.343882,0.0,0.0,2,0.0,0,0,1.515,0,1.288,0.16,-43,1.41,-62,,,,
2025-05-05T16:07:20.381117,0.0,0.0,2,0.0,0,0,1.515,0,1.288,0.16,-43,1.41,-62,,,,
2025-05-05T16:07:21.178307,0.0,0.0,2,0.0,0,0,1.515,0,1.288,0.04,-31,1.41,-62,,,,
2025-05-05T16:07:22.334040,0.0,0.0,2,0.0,0,0,1.515,0,1.288,0.04,-31,1.41,-62,,,,
2025-05-05T16:07:23.588658,0.0,0.0,2,0.0,0,0,1.515,0,1.288,0.04,-31,1.41,-62,,,,
2025-05-05T16:07:24.677984,0.0,0.0,2,0.0,0,0,1.515,0,1.288,0.04,-31,1.41,-62,,,,
2025-05-05T16:07:25.785861,0.0,0.0,2,0.0,0,0,1.515,0,1.288,0.04,-31,1.41,-62,,,,
2025-05-05T16:07:25.875037,0.0,0.0,2,0.0,0,0,1.515,0,1.288,0.04,-31,2.51,-67,,,,
2025-05-05T16:07:26.953009,0.0,0.0,2,0.0,0,0,1.515,0,1.288,0.04,-31,2.51,-67,,,,
2025-05-05T16:07:28.024006,0.0,0.0,2,0.0,0,0,1.515,0,1.288,0.04,-31,2.51,-67,,,,
2025-05-05T16:07:29.070587,0.0,0.0,2,0.0,0,0,1.515,0,1.288,0.04,-31,2.51,-67,,,,
2025-05-05T16:07:29.204622,0.0,0.0,2,0.0,0,0,1.515,0,1.288,0.03,-28,2.51,-67,,,,
2025-05-05T16:07:30.243386,0.0,0.0,2,0.0,0,0,1.515,0,1.288,0.03,-28,2.51,-67,,,,
2025-05-05T16:07:31.361446,0.0,0.0,2,0.0,0,0,1.515,0,1.288,0.03,-28,2.51,-67,,,,
2025-05-05T16:07:31.848859,0.0,0.0,2,0.0,0,0,1.515,0,1.288,0.03,-28,1.41,-62,,,,
2025-05-05T16:07:32.971593,0.0,0.0,2,0.0,0,0,1.515,0,1.288,0.03,-28,1.41,-62,,,,
2025-05-05T16:07:34.051370,0.0,0.0,2,0.0,0,0,1.515,0,1.288,0.03,-28,1.41,-62,,,,
2025-05-05T16:07:35.131408,0.0,0.0,2,0.0,0,0,1.515,0,1.288,0.03,-28,1.41,-62,,,,
