timestamp,estimated_x,estimated_y,steps,step_distance_m,position_distance_m,fused_distance_m,total_step_distance_m,total_position_distance_m,total_fused_distance_m,distance_anchor1,rssi_anchor1,distance_anchor2,rssi_anchor2,distance_anchor3,rssi_anchor3,distance_anchor4,rssi_anchor4
2025-05-12T17:36:56.258114,,,69,0,0,0,0,0,0,,,0.5,-53,,,,
2025-05-12T17:36:57.306725,,,69,0.0,0,0,0.0,0,0,,,0.5,-53,,,,
2025-05-12T17:36:58.342951,,,69,0.0,0,0,0.0,0,0,,,0.5,-53,,,,
2025-05-12T17:36:59.389683,,,69,0.0,0,0,0.0,0,0,,,0.5,-53,,,,
2025-05-12T17:37:00.564986,,,69,0.0,0,0,0.0,0,0,,,0.5,-53,,,,
2025-05-12T17:37:01.660026,1.3486526946107786,6.993013972055889,69,0.0,0,0,0.0,0,0,,,0.5,-53,0.63,-55,,
2025-05-12T17:37:02.705289,1.3486526946107786,6.993013972055889,69,0.0,0,0,0.0,0,0,,,0.5,-53,0.63,-55,,
2025-05-12T17:37:03.422958,1.3486526946107786,6.993013972055889,69,0.0,0,0,0.0,0,0,0.05,-33,0.5,-53,0.63,-55,,
2025-05-12T17:37:04.493499,1.3486526946107786,6.993013972055889,69,0.0,0,0,0.0,0,0,0.05,-33,0.5,-53,0.63,-55,,
2025-05-12T17:37:05.634164,1.3486526946107786,6.993013972055889,69,0.0,0,0,0.0,0,0,0.05,-33,0.5,-53,0.63,-55,,
2025-05-12T17:37:06.848737,1.3486526946107786,6.993013972055889,69,0.0,0,0,0.0,0,0,0.05,-33,0.5,-53,0.63,-55,,
2025-05-12T17:37:07.044672,1.3486526946107786,6.993013972055889,76,5.04,0,3.906,5.04,0,3.906,0.05,-33,4.47,-72,0.63,-55,,
2025-05-12T17:37:08.112605,1.3486526946107786,6.993013972055889,76,0.0,0,0,5.04,0,3.906,0.05,-33,4.47,-72,0.63,-55,,
2025-05-12T17:37:09.258182,1.3486526946107786,6.993013972055889,76,0.0,0,0,5.04,0,3.906,0.05,-33,4.47,-72,0.63,-55,,
2025-05-12T17:37:10.291524,1.3486526946107786,6.993013972055889,76,0.0,0,0,5.04,0,3.906,0.05,-33,4.47,-72,0.63,-55,,
